J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.0057773932600010455,0.954309122420041,0.01532567413994303,0.9188198944006258,0.11823800840184948,6.0,HI-VAE_weibull
0.005611361719160906,0.9550968961714197,0.004569692995049072,0.9216753797014536,0.13487386689316044,6.0,HI-VAE_weibull
0.00700207750950861,0.9498975894123208,0.012421493827306186,0.9134673098233492,0.13562832725661508,4.0,HI-VAE_weibull
0.0050633713201130295,0.9579328816763826,0.015764251800503528,0.9262068965517241,0.10278590393206197,3.0,HI-VAE_weibull
0.005359559436833462,0.9550968961714197,0.01058464054093352,0.924361123785933,0.12301299797607541,2.0,HI-VAE_weibull
0.00529162987578829,0.9536789034189382,0.009634642200455405,0.9195972883123655,0.10474285749471689,1.0,HI-VAE_weibull
0.006163908945198607,0.9535213486686622,0.011996544869128557,0.91896369206701,0.15071603480242565,4.0,HI-VAE_weibull
0.005554697572661028,0.9510004726642507,0.01282581987847039,0.9310841535753862,0.11666138935922439,2.0,HI-VAE_weibull
0.005849092513496934,0.9513155821648024,0.011125038831886393,0.9223860243791148,0.10069890318842847,2.0,HI-VAE_weibull
0.005730285170883858,0.9584055459272097,0.015588600777813443,0.9284955348412749,0.09512305757821629,4.0,HI-VAE_weibull
0.004674347508416826,0.9584055459272097,0.01036294113405462,0.9079267322860309,0.1284185002842989,2.0,HI-VAE_weibull
0.005800047384658285,0.9524184654167324,0.02155896372828246,0.9325474219412033,0.1002239351140929,2.0,HI-VAE_weibull
0.0063528547092767725,0.9510004726642507,0.014676710259023151,0.9104905807965583,0.09450452820230364,3.0,HI-VAE_weibull
0.00626051196674303,0.9495824799117693,0.018509615577264653,0.920526953914347,0.11801483465866189,4.0,HI-VAE_weibull
0.005324839039472858,0.9549393414211438,0.012224429702085858,0.9157343067596637,0.10153064048601085,2.0,HI-VAE_weibull
0.005540765164483621,0.9558846699227982,0.006670822289699084,0.9166929144123591,0.11610206277852894,1.0,HI-VAE_weibull
0.006078901658191648,0.951473136915078,0.019316971925679677,0.9318586793559742,0.10565534871548524,3.0,HI-VAE_weibull
0.006365502599940387,0.9510004726642509,0.016341358582468272,0.913323512156965,0.09710145726056002,2.0,HI-VAE_weibull
0.006524624438624791,0.9532062391681109,0.024535565666765492,0.9237873671859722,0.10483729751271047,3.0,HI-VAE_weibull
0.0062593880654358836,0.9530486844178351,0.010779896962525154,0.9279754905156118,0.12573337894578324,4.0,HI-VAE_weibull
0.005976645017415467,0.9560422246730739,0.017444775379672744,0.930183821132912,0.09145171624444899,2.0,HI-VAE_weibull
0.005891128898447695,0.9528911296675595,0.014584558168439163,0.9283665993090411,0.12414251451553811,6.0,HI-VAE_weibull
0.005501525814250724,0.9528911296675595,0.011766260904112251,0.9197349586076526,0.11091214000287031,3.0,HI-VAE_weibull
0.006507991359235005,0.9502126989128722,0.03014878985137416,0.9063535623492601,0.09259421504210558,6.0,HI-VAE_weibull
0.005740659451921048,0.9544666771703166,0.015391203719892919,0.914662668665667,0.1608995130714678,5.0,HI-VAE_weibull
0.0064810809675456185,0.9510004726642507,0.007466663573622794,0.9260668796036764,0.09050180718755058,1.0,HI-VAE_weibull
0.006140248645960161,0.9533637939183867,0.02719960122211752,0.9255944201812139,0.14529526370793855,6.0,HI-VAE_weibull
